"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2016","Both sexes","30 years","Tipperary","Number","1834"
"Population","2016","Both sexes","30 years","Waterford City and County","Number","1443"
"Population","2016","Both sexes","30 years","Westmeath","Number","1265"
"Population","2016","Both sexes","30 years","Wicklow","Number","1706"
"Population","2016","Both sexes","30 years","Wexford","Number","1733"
"Population","2016","Both sexes","31 years","State","Number","68334"
"Population","2016","Both sexes","31 years","Cork City and Cork County","Number","7691"
"Population","2016","Both sexes","31 years","Clare","Number","1478"
"Population","2016","Both sexes","31 years","Cavan","Number","1005"
"Population","2016","Both sexes","31 years","Carlow","Number","814"
"Population","2016","Both sexes","31 years","Dublin City","Number","11592"
"Population","2016","Both sexes","31 years","Donegal","Number","1811"
"Population","2016","Both sexes","31 years","Dún Laoghaire-Rathdown","Number","2960"
"Population","2016","Both sexes","31 years","Fingal","Number","4585"
"Population","2016","Both sexes","31 years","Galway City","Number","1479"
"Population","2016","Both sexes","31 years","Galway County","Number","2055"
"Population","2016","Both sexes","31 years","Kildare","Number","3121"
"Population","2016","Both sexes","31 years","Kilkenny","Number","1207"
"Population","2016","Both sexes","31 years","Kerry","Number","1810"
"Population","2016","Both sexes","31 years","Longford","Number","504"
"Population","2016","Both sexes","31 years","Louth","Number","1699"
"Population","2016","Both sexes","31 years","Limerick City and County","Number","2665"
"Population","2016","Both sexes","31 years","Leitrim","Number","364"
"Population","2016","Both sexes","31 years","Laois","Number","1231"
"Population","2016","Both sexes","31 years","Meath","Number","2588"
"Population","2016","Both sexes","31 years","Monaghan","Number","815"
"Population","2016","Both sexes","31 years","Mayo","Number","1561"
"Population","2016","Both sexes","31 years","Offaly","Number","1042"
"Population","2016","Both sexes","31 years","Roscommon","Number","801"
"Population","2016","Both sexes","31 years","South Dublin","Number","4347"
"Population","2016","Both sexes","31 years","Sligo","Number","790"
"Population","2016","Both sexes","31 years","Tipperary","Number","1922"
"Population","2016","Both sexes","31 years","Waterford City and County","Number","1418"
"Population","2016","Both sexes","31 years","Westmeath","Number","1251"
"Population","2016","Both sexes","31 years","Wicklow","Number","1814"
"Population","2016","Both sexes","31 years","Wexford","Number","1914"
"Population","2016","Both sexes","32 years","State","Number","71772"
"Population","2016","Both sexes","32 years","Cork City and Cork County","Number","7890"
"Population","2016","Both sexes","32 years","Clare","Number","1477"
"Population","2016","Both sexes","32 years","Cavan","Number","1088"
"Population","2016","Both sexes","32 years","Carlow","Number","816"
"Population","2016","Both sexes","32 years","Dublin City","Number","11536"
"Population","2016","Both sexes","32 years","Donegal","Number","1920"
"Population","2016","Both sexes","32 years","Dún Laoghaire-Rathdown","Number","3119"
"Population","2016","Both sexes","32 years","Fingal","Number","5049"
"Population","2016","Both sexes","32 years","Galway City","Number","1527"
"Population","2016","Both sexes","32 years","Galway County","Number","2159"
"Population","2016","Both sexes","32 years","Kildare","Number","3378"
"Population","2016","Both sexes","32 years","Kilkenny","Number","1378"
"Population","2016","Both sexes","32 years","Kerry","Number","2029"
"Population","2016","Both sexes","32 years","Longford","Number","583"
"Population","2016","Both sexes","32 years","Louth","Number","1841"
"Population","2016","Both sexes","32 years","Limerick City and County","Number","2820"
"Population","2016","Both sexes","32 years","Leitrim","Number","397"
"Population","2016","Both sexes","32 years","Laois","Number","1354"
"Population","2016","Both sexes","32 years","Meath","Number","2767"
"Population","2016","Both sexes","32 years","Monaghan","Number","850"
"Population","2016","Both sexes","32 years","Mayo","Number","1637"
"Population","2016","Both sexes","32 years","Offaly","Number","1048"
"Population","2016","Both sexes","32 years","Roscommon","Number","810"
"Population","2016","Both sexes","32 years","South Dublin","Number","4611"
"Population","2016","Both sexes","32 years","Sligo","Number","875"
"Population","2016","Both sexes","32 years","Tipperary","Number","2086"
"Population","2016","Both sexes","32 years","Waterford City and County","Number","1550"
"Population","2016","Both sexes","32 years","Westmeath","Number","1290"
"Population","2016","Both sexes","32 years","Wicklow","Number","1923"
"Population","2016","Both sexes","32 years","Wexford","Number","1964"
"Population","2016","Both sexes","33 years","State","Number","75704"
"Population","2016","Both sexes","33 years","Cork City and Cork County","Number","8512"
"Population","2016","Both sexes","33 years","Clare","Number","1590"
"Population","2016","Both sexes","33 years","Cavan","Number","1176"
"Population","2016","Both sexes","33 years","Carlow","Number","894"
"Population","2016","Both sexes","33 years","Dublin City","Number","11634"
"Population","2016","Both sexes","33 years","Donegal","Number","2121"
"Population","2016","Both sexes","33 years","Dún Laoghaire-Rathdown","Number","3286"
"Population","2016","Both sexes","33 years","Fingal","Number","5379"
"Population","2016","Both sexes","33 years","Galway City","Number","1587"
"Population","2016","Both sexes","33 years","Galway County","Number","2425"
"Population","2016","Both sexes","33 years","Kildare","Number","3718"
"Population","2016","Both sexes","33 years","Kilkenny","Number","1451"
"Population","2016","Both sexes","33 years","Kerry","Number","1996"
"Population","2016","Both sexes","33 years","Longford","Number","605"
"Population","2016","Both sexes","33 years","Louth","Number","1873"
"Population","2016","Both sexes","33 years","Limerick City and County","Number","3072"
"Population","2016","Both sexes","33 years","Leitrim","Number","443"
"Population","2016","Both sexes","33 years","Laois","Number","1409"
"Population","2016","Both sexes","33 years","Meath","Number","3020"
"Population","2016","Both sexes","33 years","Monaghan","Number","968"
"Population","2016","Both sexes","33 years","Mayo","Number","1690"
"Population","2016","Both sexes","33 years","Offaly","Number","1145"
"Population","2016","Both sexes","33 years","Roscommon","Number","810"
"Population","2016","Both sexes","33 years","South Dublin","Number","4913"
"Population","2016","Both sexes","33 years","Sligo","Number","876"
"Population","2016","Both sexes","33 years","Tipperary","Number","2198"
"Population","2016","Both sexes","33 years","Waterford City and County","Number","1530"
"Population","2016","Both sexes","33 years","Westmeath","Number","1291"
"Population","2016","Both sexes","33 years","Wicklow","Number","2088"
"Population","2016","Both sexes","33 years","Wexford","Number","2004"
"Population","2016","Both sexes","34 years","State","Number","77818"
"Population","2016","Both sexes","34 years","Cork City and Cork County","Number","8766"
"Population","2016","Both sexes","34 years","Clare","Number","1649"
"Population","2016","Both sexes","34 years","Cavan","Number","1141"
"Population","2016","Both sexes","34 years","Carlow","Number","884"
"Population","2016","Both sexes","34 years","Dublin City","Number","11154"
"Population","2016","Both sexes","34 years","Donegal","Number","2172"
"Population","2016","Both sexes","34 years","Dún Laoghaire-Rathdown","Number","3555"
"Population","2016","Both sexes","34 years","Fingal","Number","5737"
"Population","2016","Both sexes","34 years","Galway City","Number","1640"
"Population","2016","Both sexes","34 years","Galway County","Number","2514"
"Population","2016","Both sexes","34 years","Kildare","Number","3847"
"Population","2016","Both sexes","34 years","Kilkenny","Number","1479"
"Population","2016","Both sexes","34 years","Kerry","Number","2101"
"Population","2016","Both sexes","34 years","Longford","Number","603"
"Population","2016","Both sexes","34 years","Louth","Number","2015"
"Population","2016","Both sexes","34 years","Limerick City and County","Number","2971"
"Population","2016","Both sexes","34 years","Leitrim","Number","430"
"Population","2016","Both sexes","34 years","Laois","Number","1437"
"Population","2016","Both sexes","34 years","Meath","Number","3157"
"Population","2016","Both sexes","34 years","Monaghan","Number","928"
"Population","2016","Both sexes","34 years","Mayo","Number","1756"
"Population","2016","Both sexes","34 years","Offaly","Number","1249"
"Population","2016","Both sexes","34 years","Roscommon","Number","929"
"Population","2016","Both sexes","34 years","South Dublin","Number","5135"
"Population","2016","Both sexes","34 years","Sligo","Number","946"
"Population","2016","Both sexes","34 years","Tipperary","Number","2335"
"Population","2016","Both sexes","34 years","Waterford City and County","Number","1621"
"Population","2016","Both sexes","34 years","Westmeath","Number","1369"
"Population","2016","Both sexes","34 years","Wicklow","Number","2129"
"Population","2016","Both sexes","34 years","Wexford","Number","2169"
"Population","2016","Both sexes","35 years","State","Number","81545"
"Population","2016","Both sexes","35 years","Cork City and Cork County","Number","9206"
"Population","2016","Both sexes","35 years","Clare","Number","1747"
"Population","2016","Both sexes","35 years","Cavan","Number","1212"
"Population","2016","Both sexes","35 years","Carlow","Number","893"
"Population","2016","Both sexes","35 years","Dublin City","Number","11524"
"Population","2016","Both sexes","35 years","Donegal","Number","2312"
"Population","2016","Both sexes","35 years","Dún Laoghaire-Rathdown","Number","3616"
"Population","2016","Both sexes","35 years","Fingal","Number","5978"
"Population","2016","Both sexes","35 years","Galway City","Number","1637"
"Population","2016","Both sexes","35 years","Galway County","Number","2774"
"Population","2016","Both sexes","35 years","Kildare","Number","3943"
"Population","2016","Both sexes","35 years","Kilkenny","Number","1591"
"Population","2016","Both sexes","35 years","Kerry","Number","2211"
"Population","2016","Both sexes","35 years","Longford","Number","676"
"Population","2016","Both sexes","35 years","Louth","Number","2079"
"Population","2016","Both sexes","35 years","Limerick City and County","Number","3134"
"Population","2016","Both sexes","35 years","Leitrim","Number","485"
"Population","2016","Both sexes","35 years","Laois","Number","1509"
"Population","2016","Both sexes","35 years","Meath","Number","3332"
"Population","2016","Both sexes","35 years","Monaghan","Number","1019"
"Population","2016","Both sexes","35 years","Mayo","Number","1819"
"Population","2016","Both sexes","35 years","Offaly","Number","1211"
"Population","2016","Both sexes","35 years","Roscommon","Number","946"
"Population","2016","Both sexes","35 years","South Dublin","Number","5327"
"Population","2016","Both sexes","35 years","Sligo","Number","958"
"Population","2016","Both sexes","35 years","Tipperary","Number","2410"
"Population","2016","Both sexes","35 years","Waterford City and County","Number","1781"
"Population","2016","Both sexes","35 years","Westmeath","Number","1484"
"Population","2016","Both sexes","35 years","Wicklow","Number","2398"
"Population","2016","Both sexes","35 years","Wexford","Number","2333"
"Population","2016","Both sexes","36 years","State","Number","83196"
"Population","2016","Both sexes","36 years","Cork City and Cork County","Number","9216"
"Population","2016","Both sexes","36 years","Clare","Number","1875"
"Population","2016","Both sexes","36 years","Cavan","Number","1206"
"Population","2016","Both sexes","36 years","Carlow","Number","928"
"Population","2016","Both sexes","36 years","Dublin City","Number","11336"
"Population","2016","Both sexes","36 years","Donegal","Number","2450"
"Population","2016","Both sexes","36 years","Dún Laoghaire-Rathdown","Number","3612"
"Population","2016","Both sexes","36 years","Fingal","Number","6391"
"Population","2016","Both sexes","36 years","Galway City","Number","1605"
"Population","2016","Both sexes","36 years","Galway County","Number","2863"
"Population","2016","Both sexes","36 years","Kildare","Number","4063"
"Population","2016","Both sexes","36 years","Kilkenny","Number","1543"
"Population","2016","Both sexes","36 years","Kerry","Number","2325"
"Population","2016","Both sexes","36 years","Longford","Number","715"
"Population","2016","Both sexes","36 years","Louth","Number","2206"
"Population","2016","Both sexes","36 years","Limerick City and County","Number","3251"
"Population","2016","Both sexes","36 years","Leitrim","Number","492"
"Population","2016","Both sexes","36 years","Laois","Number","1523"
"Population","2016","Both sexes","36 years","Meath","Number","3522"
"Population","2016","Both sexes","36 years","Monaghan","Number","973"
"Population","2016","Both sexes","36 years","Mayo","Number","1832"
"Population","2016","Both sexes","36 years","Offaly","Number","1232"
"Population","2016","Both sexes","36 years","Roscommon","Number","968"
"Population","2016","Both sexes","36 years","South Dublin","Number","5492"
"Population","2016","Both sexes","36 years","Sligo","Number","988"
"Population","2016","Both sexes","36 years","Tipperary","Number","2429"
"Population","2016","Both sexes","36 years","Waterford City and County","Number","1868"
"Population","2016","Both sexes","36 years","Westmeath","Number","1495"
"Population","2016","Both sexes","36 years","Wicklow","Number","2370"
"Population","2016","Both sexes","36 years","Wexford","Number","2427"
"Population","2016","Both sexes","37 years","State","Number","77184"
"Population","2016","Both sexes","37 years","Cork City and Cork County","Number","8872"
"Population","2016","Both sexes","37 years","Clare","Number","1715"
"Population","2016","Both sexes","37 years","Cavan","Number","1172"
"Population","2016","Both sexes","37 years","Carlow","Number","942"
"Population","2016","Both sexes","37 years","Dublin City","Number","9611"
"Population","2016","Both sexes","37 years","Donegal","Number","2260"
"Population","2016","Both sexes","37 years","Dún Laoghaire-Rathdown","Number","3413"
"Population","2016","Both sexes","37 years","Fingal","Number","5680"
"Population","2016","Both sexes","37 years","Galway City","Number","1402"
"Population","2016","Both sexes","37 years","Galway County","Number","2726"
"Population","2016","Both sexes","37 years","Kildare","Number","3908"
"Population","2016","Both sexes","37 years","Kilkenny","Number","1601"
"Population","2016","Both sexes","37 years","Kerry","Number","2202"
"Population","2016","Both sexes","37 years","Longford","Number","642"
"Population","2016","Both sexes","37 years","Louth","Number","1964"
"Population","2016","Both sexes","37 years","Limerick City and County","Number","3029"
"Population","2016","Both sexes","37 years","Leitrim","Number","440"
"Population","2016","Both sexes","37 years","Laois","Number","1370"
"Population","2016","Both sexes","37 years","Meath","Number","3394"
"Population","2016","Both sexes","37 years","Monaghan","Number","910"
"Population","2016","Both sexes","37 years","Mayo","Number","1717"
"Population","2016","Both sexes","37 years","Offaly","Number","1172"
"Population","2016","Both sexes","37 years","Roscommon","Number","900"
"Population","2016","Both sexes","37 years","South Dublin","Number","5181"
"Population","2016","Both sexes","37 years","Sligo","Number","938"
"Population","2016","Both sexes","37 years","Tipperary","Number","2357"
"Population","2016","Both sexes","37 years","Waterford City and County","Number","1819"
"Population","2016","Both sexes","37 years","Westmeath","Number","1356"
"Population","2016","Both sexes","37 years","Wicklow","Number","2268"
"Population","2016","Both sexes","37 years","Wexford","Number","2223"
"Population","2016","Both sexes","38 years","State","Number","74681"
"Population","2016","Both sexes","38 years","Cork City and Cork County","Number","8468"
"Population","2016","Both sexes","38 years","Clare","Number","1776"
"Population","2016","Both sexes","38 years","Cavan","Number","1178"
"Population","2016","Both sexes","38 years","Carlow","Number","847"
"Population","2016","Both sexes","38 years","Dublin City","Number","8942"
"Population","2016","Both sexes","38 years","Donegal","Number","2287"
"Population","2016","Both sexes","38 years","Dún Laoghaire-Rathdown","Number","3227"
"Population","2016","Both sexes","38 years","Fingal","Number","5545"
"Population","2016","Both sexes","38 years","Galway City","Number","1292"
"Population","2016","Both sexes","38 years","Galway County","Number","2800"
"Population","2016","Both sexes","38 years","Kildare","Number","3816"
"Population","2016","Both sexes","38 years","Kilkenny","Number","1548"
"Population","2016","Both sexes","38 years","Kerry","Number","2185"
"Population","2016","Both sexes","38 years","Longford","Number","557"
"Population","2016","Both sexes","38 years","Louth","Number","2044"
"Population","2016","Both sexes","38 years","Limerick City and County","Number","2870"
"Population","2016","Both sexes","38 years","Leitrim","Number","443"
"Population","2016","Both sexes","38 years","Laois","Number","1428"
"Population","2016","Both sexes","38 years","Meath","Number","3307"
"Population","2016","Both sexes","38 years","Monaghan","Number","897"
"Population","2016","Both sexes","38 years","Mayo","Number","1737"
"Population","2016","Both sexes","38 years","Offaly","Number","1161"
"Population","2016","Both sexes","38 years","Roscommon","Number","883"
"Population","2016","Both sexes","38 years","South Dublin","Number","4691"
"Population","2016","Both sexes","38 years","Sligo","Number","935"
"Population","2016","Both sexes","38 years","Tipperary","Number","2312"
"Population","2016","Both sexes","38 years","Waterford City and County","Number","1801"
"Population","2016","Both sexes","38 years","Westmeath","Number","1320"
"Population","2016","Both sexes","38 years","Wicklow","Number","2249"
"Population","2016","Both sexes","38 years","Wexford","Number","2135"
"Population","2016","Both sexes","39 years","State","Number","72815"
"Population","2016","Both sexes","39 years","Cork City and Cork County","Number","8383"
"Population","2016","Both sexes","39 years","Clare","Number","1766"
"Population","2016","Both sexes","39 years","Cavan","Number","1045"
"Population","2016","Both sexes","39 years","Carlow","Number","888"
"Population","2016","Both sexes","39 years","Dublin City","Number","8148"
"Population","2016","Both sexes","39 years","Donegal","Number","2317"
"Population","2016","Both sexes","39 years","Dún Laoghaire-Rathdown","Number","2919"
"Population","2016","Both sexes","39 years","Fingal","Number","5389"
"Population","2016","Both sexes","39 years","Galway City","Number","1224"
"Population","2016","Both sexes","39 years","Galway County","Number","2852"
"Population","2016","Both sexes","39 years","Kildare","Number","3692"
"Population","2016","Both sexes","39 years","Kilkenny","Number","1518"
"Population","2016","Both sexes","39 years","Kerry","Number","2102"
"Population","2016","Both sexes","39 years","Longford","Number","607"
"Population","2016","Both sexes","39 years","Louth","Number","1954"
"Population","2016","Both sexes","39 years","Limerick City and County","Number","2924"
"Population","2016","Both sexes","39 years","Leitrim","Number","474"
"Population","2016","Both sexes","39 years","Laois","Number","1375"
"Population","2016","Both sexes","39 years","Meath","Number","3277"
"Population","2016","Both sexes","39 years","Monaghan","Number","909"
"Population","2016","Both sexes","39 years","Mayo","Number","1757"
"Population","2016","Both sexes","39 years","Offaly","Number","1148"
"Population","2016","Both sexes","39 years","Roscommon","Number","894"
"Population","2016","Both sexes","39 years","South Dublin","Number","4522"
"Population","2016","Both sexes","39 years","Sligo","Number","943"
"Population","2016","Both sexes","39 years","Tipperary","Number","2301"
"Population","2016","Both sexes","39 years","Waterford City and County","Number","1758"
"Population","2016","Both sexes","39 years","Westmeath","Number","1312"
"Population","2016","Both sexes","39 years","Wicklow","Number","2208"
"Population","2016","Both sexes","39 years","Wexford","Number","2209"
"Population","2016","Both sexes","40 years","State","Number","73414"
"Population","2016","Both sexes","40 years","Cork City and Cork County","Number","8437"
"Population","2016","Both sexes","40 years","Clare","Number","1857"
"Population","2016","Both sexes","40 years","Cavan","Number","1099"
"Population","2016","Both sexes","40 years","Carlow","Number","866"
"Population","2016","Both sexes","40 years","Dublin City","Number","8268"
"Population","2016","Both sexes","40 years","Donegal","Number","2265"
"Population","2016","Both sexes","40 years","Dún Laoghaire-Rathdown","Number","3045"
"Population","2016","Both sexes","40 years","Fingal","Number","5567"
"Population","2016","Both sexes","40 years","Galway City","Number","1212"
"Population","2016","Both sexes","40 years","Galway County","Number","2794"
"Population","2016","Both sexes","40 years","Kildare","Number","3782"
"Population","2016","Both sexes","40 years","Kilkenny","Number","1588"
"Population","2016","Both sexes","40 years","Kerry","Number","2121"
"Population","2016","Both sexes","40 years","Longford","Number","584"
"Population","2016","Both sexes","40 years","Louth","Number","2078"
"Population","2016","Both sexes","40 years","Limerick City and County","Number","2867"
"Population","2016","Both sexes","40 years","Leitrim","Number","438"
"Population","2016","Both sexes","40 years","Laois","Number","1291"
"Population","2016","Both sexes","40 years","Meath","Number","3366"
"Population","2016","Both sexes","40 years","Monaghan","Number","914"
"Population","2016","Both sexes","40 years","Mayo","Number","1843"
"Population","2016","Both sexes","40 years","Offaly","Number","1153"
"Population","2016","Both sexes","40 years","Roscommon","Number","917"
"Population","2016","Both sexes","40 years","South Dublin","Number","4359"
"Population","2016","Both sexes","40 years","Sligo","Number","924"
"Population","2016","Both sexes","40 years","Tipperary","Number","2312"
"Population","2016","Both sexes","40 years","Waterford City and County","Number","1757"
"Population","2016","Both sexes","40 years","Westmeath","Number","1268"
"Population","2016","Both sexes","40 years","Wicklow","Number","2284"
"Population","2016","Both sexes","40 years","Wexford","Number","2158"
"Population","2016","Both sexes","41 years","State","Number","71974"
"Population","2016","Both sexes","41 years","Cork City and Cork County","Number","8279"
"Population","2016","Both sexes","41 years","Clare","Number","1670"
"Population","2016","Both sexes","41 years","Cavan","Number","1093"
"Population","2016","Both sexes","41 years","Carlow","Number","853"
"Population","2016","Both sexes","41 years","Dublin City","Number","7580"
"Population","2016","Both sexes","41 years","Donegal","Number","2280"
"Population","2016","Both sexes","41 years","Dún Laoghaire-Rathdown","Number","3023"
"Population","2016","Both sexes","41 years","Fingal","Number","5288"
"Population","2016","Both sexes","41 years","Galway City","Number","1072"
"Population","2016","Both sexes","41 years","Galway County","Number","2824"
"Population","2016","Both sexes","41 years","Kildare","Number","3693"
"Population","2016","Both sexes","41 years","Kilkenny","Number","1513"
"Population","2016","Both sexes","41 years","Kerry","Number","2161"
"Population","2016","Both sexes","41 years","Longford","Number","597"
"Population","2016","Both sexes","41 years","Louth","Number","1981"
"Population","2016","Both sexes","41 years","Limerick City and County","Number","2862"
"Population","2016","Both sexes","41 years","Leitrim","Number","452"
"Population","2016","Both sexes","41 years","Laois","Number","1237"
"Population","2016","Both sexes","41 years","Meath","Number","3433"
"Population","2016","Both sexes","41 years","Monaghan","Number","890"
"Population","2016","Both sexes","41 years","Mayo","Number","1772"
"Population","2016","Both sexes","41 years","Offaly","Number","1189"
"Population","2016","Both sexes","41 years","Roscommon","Number","925"
"Population","2016","Both sexes","41 years","South Dublin","Number","4329"
"Population","2016","Both sexes","41 years","Sligo","Number","942"
"Population","2016","Both sexes","41 years","Tipperary","Number","2394"
"Population","2016","Both sexes","41 years","Waterford City and County","Number","1729"
"Population","2016","Both sexes","41 years","Westmeath","Number","1377"
"Population","2016","Both sexes","41 years","Wicklow","Number","2302"
"Population","2016","Both sexes","41 years","Wexford","Number","2234"
"Population","2016","Both sexes","42 years","State","Number","71172"
"Population","2016","Both sexes","42 years","Cork City and Cork County","Number","8004"
"Population","2016","Both sexes","42 years","Clare","Number","1846"
"Population","2016","Both sexes","42 years","Cavan","Number","1126"
"Population","2016","Both sexes","42 years","Carlow","Number","802"
"Population","2016","Both sexes","42 years","Dublin City","Number","7472"
"Population","2016","Both sexes","42 years","Donegal","Number","2239"
"Population","2016","Both sexes","42 years","Dún Laoghaire-Rathdown","Number","2992"
"Population","2016","Both sexes","42 years","Fingal","Number","5278"
"Population","2016","Both sexes","42 years","Galway City","Number","1064"
"Population","2016","Both sexes","42 years","Galway County","Number","2819"
"Population","2016","Both sexes","42 years","Kildare","Number","3702"
"Population","2016","Both sexes","42 years","Kilkenny","Number","1542"
"Population","2016","Both sexes","42 years","Kerry","Number","2158"
"Population","2016","Both sexes","42 years","Longford","Number","571"
"Population","2016","Both sexes","42 years","Louth","Number","1930"
"Population","2016","Both sexes","42 years","Limerick City and County","Number","2781"
"Population","2016","Both sexes","42 years","Leitrim","Number","500"
"Population","2016","Both sexes","42 years","Laois","Number","1301"
"Population","2016","Both sexes","42 years","Meath","Number","3381"
"Population","2016","Both sexes","42 years","Monaghan","Number","877"
"Population","2016","Both sexes","42 years","Mayo","Number","1783"
"Population","2016","Both sexes","42 years","Offaly","Number","1141"
"Population","2016","Both sexes","42 years","Roscommon","Number","929"
"Population","2016","Both sexes","42 years","South Dublin","Number","4267"
"Population","2016","Both sexes","42 years","Sligo","Number","901"
"Population","2016","Both sexes","42 years","Tipperary","Number","2356"
"Population","2016","Both sexes","42 years","Waterford City and County","Number","1635"
"Population","2016","Both sexes","42 years","Westmeath","Number","1289"
"Population","2016","Both sexes","42 years","Wicklow","Number","2289"
"Population","2016","Both sexes","42 years","Wexford","Number","2197"
"Population","2016","Both sexes","43 years","State","Number","71288"
"Population","2016","Both sexes","43 years","Cork City and Cork County","Number","8005"
"Population","2016","Both sexes","43 years","Clare","Number","1842"
"Population","2016","Both sexes","43 years","Cavan","Number","1071"
"Population","2016","Both sexes","43 years","Carlow","Number","916"
"Population","2016","Both sexes","43 years","Dublin City","Number","7378"
"Population","2016","Both sexes","43 years","Donegal","Number","2313"
"Population","2016","Both sexes","43 years","Dún Laoghaire-Rathdown","Number","3061"
"Population","2016","Both sexes","43 years","Fingal","Number","5058"
"Population","2016","Both sexes","43 years","Galway City","Number","1025"
"Population","2016","Both sexes","43 years","Galway County","Number","2865"
"Population","2016","Both sexes","43 years","Kildare","Number","3887"
"Population","2016","Both sexes","43 years","Kilkenny","Number","1583"
"Population","2016","Both sexes","43 years","Kerry","Number","2118"
"Population","2016","Both sexes","43 years","Longford","Number","589"
"Population","2016","Both sexes","43 years","Louth","Number","2038"
"Population","2016","Both sexes","43 years","Limerick City and County","Number","2805"
"Population","2016","Both sexes","43 years","Leitrim","Number","456"
"Population","2016","Both sexes","43 years","Laois","Number","1241"
"Population","2016","Both sexes","43 years","Meath","Number","3262"
"Population","2016","Both sexes","43 years","Monaghan","Number","906"
"Population","2016","Both sexes","43 years","Mayo","Number","1827"
"Population","2016","Both sexes","43 years","Offaly","Number","1140"
"Population","2016","Both sexes","43 years","Roscommon","Number","910"
"Population","2016","Both sexes","43 years","South Dublin","Number","4125"
"Population","2016","Both sexes","43 years","Sligo","Number","909"
"Population","2016","Both sexes","43 years","Tipperary","Number","2406"
"Population","2016","Both sexes","43 years","Waterford City and County","Number","1688"
"Population","2016","Both sexes","43 years","Westmeath","Number","1284"
"Population","2016","Both sexes","43 years","Wicklow","Number","2296"
"Population","2016","Both sexes","43 years","Wexford","Number","2284"
"Population","2016","Both sexes","44 years","State","Number","69612"
"Population","2016","Both sexes","44 years","Cork City and Cork County","Number","7961"
"Population","2016","Both sexes","44 years","Clare","Number","1903"
"Population","2016","Both sexes","44 years","Cavan","Number","1104"
"Population","2016","Both sexes","44 years","Carlow","Number","860"
"Population","2016","Both sexes","44 years","Dublin City","Number","7323"
"Population","2016","Both sexes","44 years","Donegal","Number","2315"
"Population","2016","Both sexes","44 years","Dún Laoghaire-Rathdown","Number","3088"
"Population","2016","Both sexes","44 years","Fingal","Number","4838"
"Population","2016","Both sexes","44 years","Galway City","Number","967"
"Population","2016","Both sexes","44 years","Galway County","Number","2778"
"Population","2016","Both sexes","44 years","Kildare","Number","3629"
"Population","2016","Both sexes","44 years","Kilkenny","Number","1445"
"Population","2016","Both sexes","44 years","Kerry","Number","2129"
"Population","2016","Both sexes","44 years","Longford","Number","565"
"Population","2016","Both sexes","44 years","Louth","Number","1961"
"Population","2016","Both sexes","44 years","Limerick City and County","Number","2764"
"Population","2016","Both sexes","44 years","Leitrim","Number","486"
"Population","2016","Both sexes","44 years","Laois","Number","1295"
"Population","2016","Both sexes","44 years","Meath","Number","3193"
"Population","2016","Both sexes","44 years","Monaghan","Number","856"
"Population","2016","Both sexes","44 years","Mayo","Number","1792"
"Population","2016","Both sexes","44 years","Offaly","Number","1135"
"Population","2016","Both sexes","44 years","Roscommon","Number","896"
"Population","2016","Both sexes","44 years","South Dublin","Number","3871"
"Population","2016","Both sexes","44 years","Sligo","Number","837"
"Population","2016","Both sexes","44 years","Tipperary","Number","2245"
"Population","2016","Both sexes","44 years","Waterford City and County","Number","1645"
"Population","2016","Both sexes","44 years","Westmeath","Number","1261"
"Population","2016","Both sexes","44 years","Wicklow","Number","2207"
"Population","2016","Both sexes","44 years","Wexford","Number","2263"
"Population","2016","Both sexes","45 years","State","Number","70457"
"Population","2016","Both sexes","45 years","Cork City and Cork County","Number","8069"
"Population","2016","Both sexes","45 years","Clare","Number","1797"
"Population","2016","Both sexes","45 years","Cavan","Number","1099"
"Population","2016","Both sexes","45 years","Carlow","Number","849"
"Population","2016","Both sexes","45 years","Dublin City","Number","7719"
"Population","2016","Both sexes","45 years","Donegal","Number","2386"
"Population","2016","Both sexes","45 years","Dún Laoghaire-Rathdown","Number","3010"
"Population","2016","Both sexes","45 years","Fingal","Number","4775"
"Population","2016","Both sexes","45 years","Galway City","Number","1039"
"Population","2016","Both sexes","45 years","Galway County","Number","2853"
"Population","2016","Both sexes","45 years","Kildare","Number","3541"
"Population","2016","Both sexes","45 years","Kilkenny","Number","1411"
"Population","2016","Both sexes","45 years","Kerry","Number","2172"
"Population","2016","Both sexes","45 years","Longford","Number","578"
"Population","2016","Both sexes","45 years","Louth","Number","2048"
"Population","2016","Both sexes","45 years","Limerick City and County","Number","2765"
"Population","2016","Both sexes","45 years","Leitrim","Number","465"
"Population","2016","Both sexes","45 years","Laois","Number","1289"
"Population","2016","Both sexes","45 years","Meath","Number","3176"
"Population","2016","Both sexes","45 years","Monaghan","Number","806"
"Population","2016","Both sexes","45 years","Mayo","Number","1826"
"Population","2016","Both sexes","45 years","Offaly","Number","1154"
"Population","2016","Both sexes","45 years","Roscommon","Number","950"
"Population","2016","Both sexes","45 years","South Dublin","Number","3848"
"Population","2016","Both sexes","45 years","Sligo","Number","897"
"Population","2016","Both sexes","45 years","Tipperary","Number","2360"
"Population","2016","Both sexes","45 years","Waterford City and County","Number","1725"
"Population","2016","Both sexes","45 years","Westmeath","Number","1313"
"Population","2016","Both sexes","45 years","Wicklow","Number","2284"
"Population","2016","Both sexes","45 years","Wexford","Number","2253"
"Population","2016","Both sexes","46 years","State","Number","67208"
